word	level	pinyin	gloss
发送	HSK4	fā sòng	to transmit; to dispatch
费	HSK4	fèi	to cost; to spend
费用	HSK4	fèi yòng	cost; expenditure
份	HSK4	fèn	classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fen4]
丰富	HSK4	fēng fù	to enrich; rich
风景	HSK4	fēng jǐng	scenery; landscape
分数	HSK4	fēn shù	(exam) grade; mark
分为	HSK4	fēn wéi	to divide sth into (parts); to subdivide
否则	HSK4	fǒu zé	otherwise; if not; or (else)
幅	HSK4	fú	width; roll
付	HSK4	fù	to pay; to hand over to
符合	HSK4	fú hé	in accordance with; to agree with; to conform to; to meet (a requirement); (physics) coincidence
父母	HSK4	fù mǔ	father and mother; parents
父女	HSK4	fù nǚ	father and daughter
父亲	HSK4	fù qīn	father; also pr. [fu4 qin5]
复印	HSK4	fù yìn	to photocopy; to duplicate a document
复杂	HSK4	fù zá	complicated; complex
负责	HSK4	fù zé	to be responsible for; to be in charge of; to bear responsibility for; conscientious
负责人	HSK4	fù zé rén	person in charge
父子	HSK4	fù zǐ	father and son
改	HSK4	gǎi	to change; to alter
改变	HSK4	gǎi biàn	to change; to alter
赶	HSK4	gǎn	to overtake; to catch up with; to hurry; to rush
敢	HSK4	gǎn	to dare; daring
感	HSK4	gǎn	to feel; to move
干	HSK4	gàn	tree trunk; main part of sth
干杯	HSK4	gān bēi	to drink a toast; Cheers! (proposing a toast)
感动	HSK4	gǎn dòng	to move (sb); to touch (sb emotionally)
钢琴	HSK4	gāng qín	piano; CL:架[jia4],臺|台[tai2]
干活儿	HSK4	gàn huó r	erhua variant of 幹活|干活[gan4 huo2]
赶紧	HSK4	gǎn jǐn	hurriedly; without delay
感觉	HSK4	gǎn jué	feeling; impression; sensation; to feel; to perceive
赶快	HSK4	gǎn kuài	quickly; at once
感情	HSK4	gǎn qíng	emotion; sentiment; affection; feelings between two persons
感人	HSK4	gǎn rén	touching; moving
赶上	HSK4	gǎn shàng	to keep up with; to catch up with
感受	HSK4	gǎn shòu	to sense; perception
感谢	HSK4	gǎn xiè	to thank; to be grateful
高价	HSK4	gāo jià	high price
高考	HSK4	gāo kǎo	college entrance exam (especially as abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[Pu3 tong1 Gao1 deng3 Xue2 xiao...
高速	HSK4	gāo sù	high speed; expressway (abbr. for 高速公路[gao1 su4 gong1 lu4])
高温	HSK4	gāo wēn	high temperature
高于	HSK4	gāo yú	greater than; to exceed
各	HSK4	gè	each; every
胳膊	HSK4	gē bo	arm; CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]
各地	HSK4	gè dì	in all parts of (a country); various regions
各个	HSK4	gè gè	every; various
更加	HSK4	gèng jiā	more (than sth else); even more
歌声	HSK4	gē shēng	singing voice; fig. original voice of a poet
歌手	HSK4	gē shǒu	singer
各位	HSK4	gè wèi	everybody; all (guests, colleagues etc)
各种	HSK4	gè zhǒng	every kind of; all kinds of; various
共	HSK4	gòng	common; general
工厂	HSK4	gōng chǎng	factory; CL:家[jia1],座[zuo4]
功夫	HSK4	gōng fu	skill; art
公共	HSK4	gōng gòng	public; common; communal
功课	HSK4	gōng kè	homework; assignment
公里	HSK4	gōng lǐ	kilometer
公路	HSK4	gōng lù	highway; road
工人	HSK4	gōng rén	worker; CL:個|个[ge4],名[ming2]
共同	HSK4	gòng tóng	common; joint
工资	HSK4	gōng zī	wages; pay; CL:份[fen4]
够	HSK4	gòu	enough (sufficient); enough (too much)
购买	HSK4	gòu mǎi	to purchase; to buy
购物	HSK4	gòu wù	shopping
挂	HSK4	guà	to hang; to suspend (from a hook etc); to hang up (the phone)
管	HSK4	guǎn	to take care (of); to control
逛	HSK4	guàng	to stroll; to visit
光	HSK4	guāng	light; ray (CL:道[dao4]); bright; shiny
广播	HSK4	guǎng bō	broadcast; CL:個|个[ge4]
广告	HSK4	guǎng gào	to advertise; a commercial
关键	HSK4	guān jiàn	crucial point; crux
观看	HSK4	guān kàn	to watch; to view
管理	HSK4	guǎn lǐ	to supervise; to manage
观众	HSK4	guān zhòng	spectators; audience; visitors (to an exhibition etc)
规定	HSK4	guī dìng	to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions...
估计	HSK4	gū jì	to estimate; to assess; to calculate; (coll.) to reckon; to think (that ...)
顾客	HSK4	gù kè	customer; client; CL:位[wei4]
鼓励	HSK4	gǔ lì	to encourage
姑娘	HSK4	gū niang	girl; young woman
过程	HSK4	guò chéng	course of events; process
国籍	HSK4	guó jí	nationality
国际	HSK4	guó jì	international
果汁	HSK4	guǒ zhī	fruit juice
故意	HSK4	gù yì	deliberately; on purpose
害羞	HSK4	hài xiū	shy; embarrassed
海洋	HSK4	hǎi yáng	ocean; CL:個|个[ge4]
汗	HSK4	hàn	perspiration; sweat
喊	HSK4	hǎn	to yell; to shout
航班	HSK4	háng bān	(scheduled) flight; (scheduled) sailing
寒假	HSK4	hán jià	winter vacation
寒冷	HSK4	hán lěng	cold (climate); frigid
好处	HSK4	hǎo chu	benefit; advantage; merit; gain; profit
好好	HSK4	hǎo hǎo	well; carefully; nicely; properly
好笑	HSK4	hǎo xiào	laughable; funny; ridiculous
合格	HSK4	hé gé	to meet the standard required; qualified
盒子	HSK4	hé zi	box; case; hezi – a savory turnover-like pie in northern Chinese and Mongolian cuisines
红包	HSK4	hóng bāo	money wrapped in red as a gift; bonus payment
厚	HSK4	hòu	thick; deep or profound
后悔	HSK4	hòu huǐ	to regret; to feel remorse
坏处	HSK4	huài chu	harm; troubles
怀疑	HSK4	huái yí	to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that
话剧	HSK4	huà jù	stage play; modern drama
环保	HSK4	huán bǎo	environmental protection; environmentally friendly
换乘	HSK4	huàn chéng	to change train (plane, bus etc); transfer between modes of transport
回复	HSK4	huí fù	to recover; to revert; to return to (good health, normal condition etc); variant of 回覆[hui2 fu4]
回信	HSK4	huí xìn	to reply; to write back
回忆	HSK4	huí yì	to recall; memories
会员	HSK4	huì yuán	member
互联网	HSK4	Hù lián wǎng	Internet
活	HSK4	huó	to live; alive
货	HSK4	huò	goods; money
火	HSK4	huǒ	fire; urgent
获得	HSK4	huò dé	to obtain; to receive; to get
活动	HSK4	huó dòng	to exercise; to move about; to work out; shaky; unsteady; loose (tooth etc)
获奖	HSK4	huò jiǎng	to win an award
活泼	HSK4	huó po	lively; vivacious
获取	HSK4	huò qǔ	to gain; to get; to acquire
忽然	HSK4	hū rán	suddenly; all of a sudden
护士	HSK4	hù shi	nurse
互相	HSK4	hù xiāng	each other; mutually
既	HSK4	jì	already; since
寄	HSK4	jì	to entrust; to place in sb's care; (bound form) to depend on; to attach oneself to; to reside temporarily
假	HSK4	jiǎ	fake; false
加班	HSK4	jiā bān	to work overtime
价格	HSK4	jià gé	price
家具	HSK4	jiā jù	furniture; CL:件[jian4],套[tao4]
加快	HSK4	jiā kuài	to accelerate; to speed up; to hasten
减	HSK4	jiǎn	to lower; to decrease
降	HSK4	jiàng	to drop; to fall
奖	HSK4	jiǎng	prize; award; bonus; reward; (bound form) to encourage; to commend; to praise
江	HSK4	Jiāng	surname Jiang; (bound form) Yangtze River
将	HSK4	jiāng	will; shall
降低	HSK4	jiàng dī	to reduce; to lower; to bring down
降价	HSK4	jiàng jià	to cut the price; to drive down the price
奖金	HSK4	jiǎng jīn	premium; award money
将来	HSK4	jiāng lái	in the future; future
降落	HSK4	jiàng luò	to descend; to land
降温	HSK4	jiàng wēn	to become cooler; to lower the temperature
奖学金	HSK4	jiǎng xué jīn	scholarship; CL:筆|笔[bi3]
将要	HSK4	jiāng yào	will; shall
减轻	HSK4	jiǎn qīng	to lighten; to ease
减少	HSK4	jiǎn shǎo	to lessen; to decrease; to reduce; to lower
健身	HSK4	jiàn shēn	to exercise; to keep fit
健身房	HSK4	jiàn shēn fáng	gym; fitness club
建议	HSK4	jiàn yì	to propose; to suggest; to recommend; proposal; suggestion; recommendation (CL:點|点[dian3])
交	HSK4	jiāo	to hand over; to deliver; to pay (money); to turn over; to make friends
骄傲	HSK4	jiāo ào	pride; arrogance
交警	HSK4	jiāo jǐng	traffic police (abbr. for 交通警察[jiao1 tong1 jing3 cha2])
教练	HSK4	jiào liàn	to coach; to train; instructor; sports coach; trainer (CL:位[wei4],名[ming2])
交流	HSK4	jiāo liú	to exchange; exchange
郊区	HSK4	Jiāo Qū	Jiao District or Jiaoqu, a district of Tongling City 銅陵市|铜陵市[Tong2 ling2 Shi4], Anhui; Jiao District or Jia...
教师	HSK4	jiào shī	teacher; CL:個|个[ge4]
教授	HSK4	jiào shòu	professor; to instruct
交通	HSK4	jiāo tōng	to be connected; traffic
教学	HSK4	jiào xué	teaching; instruction; CL:次[ci4]
教育	HSK4	jiào yù	to educate; to teach
叫作	HSK4	jiào zuò	to call; to be called
价钱	HSK4	jià qian	price
加强	HSK4	jiā qiáng	to reinforce; to strengthen; to enhance
假日	HSK4	jià rì	a holiday; a day off
加入	HSK4	jiā rù	to become a member; to join
加上	HSK4	jiā shàng	plus; to put in
家庭	HSK4	jiā tíng	family; household; CL:戶|户[hu4]
家乡	HSK4	jiā xiāng	hometown; native place
加油	HSK4	jiā yóu	to add oil; to top up with gas; to refuel; to accelerate; to step on the gas
加油站	HSK4	jiā yóu zhàn	gas station
家长	HSK4	jiā zhǎng	head of a household; family head
基本	HSK4	jī běn	basic; fundamental
基本上	HSK4	jī běn shang	basically; on the whole
基础	HSK4	jī chǔ	base; foundation; basis; basic; fundamental
激动	HSK4	jī dòng	to move emotionally; to stir up (emotions)
街道	HSK4	jiē dào	street; CL:條|条[tiao2]
结果	HSK4	jié guǒ	outcome; result; consequence; in the end; as a result
节假日	HSK4	jié jià rì	public holiday
解释	HSK4	jiě shì	explanation; to explain
接受	HSK4	jiē shòu	to accept (a suggestion, punishment, bribe etc); to acquiesce
节约	HSK4	jié yuē	to economize; to conserve (resources)
结账	HSK4	jié zhàng	to settle accounts; to pay the bill
接着	HSK4	jiē zhe	to catch and hold on; to continue
计划	HSK4	jì huà	plan; project
积极	HSK4	jī jí	active; energetic
积累	HSK4	jī lěi	to accumulate; accumulation
仅	HSK4	jǐn	barely; only
精彩	HSK4	jīng cǎi	wonderful; marvelous
警察	HSK4	jǐng chá	police; police officer
景点	HSK4	jǐng diǎn	tourist attraction; scenic spot
经济	HSK4	jīng jì	economy; economic
京剧	HSK4	Jīng jù	Beijing opera; CL:場|场[chang3],齣|出[chu1]
经历	HSK4	jīng lì	to experience; to go through; experience (CL:段[duan4],次[ci4])
景区	HSK4	jǐng qū	scenic area
竟然	HSK4	jìng rán	unexpectedly; to one's surprise
景色	HSK4	jǐng sè	scenery; landscape; view
尽管	HSK4	jǐn guǎn	despite; although
经验	HSK4	jīng yàn	experience; to go through; to experience
竞争	HSK4	jìng zhēng	to compete; competition
镜子	HSK4	jìng zi	mirror; CL:面[mian4],個|个[ge4]
今后	HSK4	jīn hòu	hereafter; henceforth
仅仅	HSK4	jǐn jǐn	barely; only
进入	HSK4	jìn rù	to enter; to join
进行	HSK4	jìn xíng	(of a process etc) to proceed; to be in progress; to be underway; (of people) to carry out; to conduct (an...
紧张	HSK4	jǐn zhāng	nervous; keyed up
禁止	HSK4	jìn zhǐ	to prohibit; to forbid
既然	HSK4	jì rán	since; as; this being the case
及时	HSK4	jí shí	timely; at the right time; promptly; without delay
即使	HSK4	jí shǐ	even if; even though
技术	HSK4	jì shù	technology; technique; skill; CL:門|门[men2],種|种[zhong3],項|项[xiang4]
究竟	HSK4	jiū jìng	to go to the bottom of a matter; after all
就是	HSK4	jiù shì	exactly; precisely; only; simply; just
继续	HSK4	jì xù	to continue; to proceed with; to go on with
记者	HSK4	jì zhě	reporter; journalist; CL:個|个[ge4]
聚	HSK4	jù	to assemble; to gather (transitive or intransitive); (chemistry) poly-
举	HSK4	jǔ	to lift; to hold up
举办	HSK4	jǔ bàn	to conduct; to hold (an event)
聚餐	HSK4	jù cān	communal meal; formal dinner of club or group
聚会	HSK4	jù huì	party; gathering
拒绝	HSK4	jù jué	to refuse; to decline; to reject
距离	HSK4	jù lí	distance; CL:個|个[ge4]
举例	HSK4	jǔ lì	to give an example
举行	HSK4	jǔ xíng	to hold (a meeting, ceremony etc)
剧院	HSK4	jù yuàn	theater; CL:家[jia1],座[zuo4]
开玩笑	HSK4	kāi wán xiào	to play a joke; to make fun of; to joke
看法	HSK4	kàn fǎ	way of looking at a thing; view
烤	HSK4	kǎo	to roast; to grill; to broil; to bake; to toast (bread); to warm oneself by a fire
考虑	HSK4	kǎo lǜ	to think over; to consider
考生	HSK4	kǎo shēng	exam candidate; student whose name has been put forward for an exam
咳	HSK4	hāi	sound of sighing; (interjection expressing surprise, sorrow, regret, disappointment etc) oh
克	HSK4	kè	to be able to; to subdue
棵	HSK4	kē	classifier for trees, cabbages, plants etc
课程	HSK4	kè chéng	course; academic program; CL:堂[tang2],節|节[jie2],門|门[men2]
科技	HSK4	kē jì	science and technology
肯定	HSK4	kěn dìng	to be certain; to be positive; assuredly; definitely
客气	HSK4	kè qi	polite; courteous
咳嗽	HSK4	ké sou	to cough; CL:陣|阵[zhen4]
课堂	HSK4	kè táng	classroom (CL:間|间[jian1]); class session
客厅	HSK4	kè tīng	living room; sitting room; CL:間|间[jian1]
可惜	HSK4	kě xī	it is a pity; what a pity
科学	HSK4	kē xué	science; scientific knowledge
空	HSK4	kòng	to empty; vacant
空	HSK4	kòng	to empty; vacant
恐怕	HSK4	kǒng pà	fear; to dread
空气	HSK4	kōng qì	air; atmosphere
口语	HSK4	kǒu yǔ	colloquial speech; spoken language
苦	HSK4	kǔ	bitter; hardship
快餐	HSK4	kuài cān	fast food; snack
快递	HSK4	kuài dì	express delivery
快速	HSK4	kuài sù	fast; high-speed; rapid
困	HSK4	kùn	to trap; to surround
困难	HSK4	kùn nan	difficult; challenging
辣	HSK4	là	hot (spicy); pungent
拉	HSK4	lā	to pull; to play (a bowed instrument)
来不及	HSK4	lái bu jí	there's not enough time (to do sth); it's too late
来得及	HSK4	lái de jí	to have enough time; can do it in time; can still make it
垃圾	HSK4	lā jī	trash; refuse
懒	HSK4	lǎn	variant of 懶|懒[lan3]
浪费	HSK4	làng fèi	to waste; to squander
浪漫	HSK4	làng màn	romantic
老虎	HSK4	lǎo hǔ	tiger; CL:隻|只[zhi1]
老家	HSK4	lǎo jiā	native place; place of origin
老年	HSK4	lǎo nián	elderly; old age
老是	HSK4	lǎo shi	always
冷静	HSK4	lěng jìng	calm; cool-headed; dispassionate; (of a place) deserted; quiet
俩	HSK4	liǎ	two (colloquial equivalent of 兩個|两个); both
连	HSK4	lián	to link; to join
凉	HSK4	liáng	cool; cold
量	HSK4	liàng	capacity; quantity
亮	HSK4	liàng	bright; light; to shine; to flash
两	HSK4	liǎng	two; both
联系	HSK4	lián xì	connection; contact
列	HSK4	liè	to arrange; to line up
理发	HSK4	lǐ fà	to get a haircut; to have one's hair done; to cut (sb's) hair; to give (sb) a haircut
厉害	HSK4	lì hai	(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible...
理解	HSK4	lǐ jiě	to comprehend; to understand
礼貌	HSK4	lǐ mào	courtesy; politeness; manners; courteous; polite
另	HSK4	lìng	other; another
零下	HSK4	líng xià	below zero (esp. temperature)
零花钱	HSK4	líng huā qián	pocket money; allowance
零钱	HSK4	líng qián	change (of money); small change
零食	HSK4	líng shí	snack; nibbles
另外	HSK4	lìng wài	additional; in addition
力气	HSK4	lì qi	physical strength
例如	HSK4	lì rú	for example; for instance; such as
留	HSK4	liú	to leave (a message etc); to retain
流	HSK4	liú	to flow; to disseminate
流利	HSK4	liú lì	fluent
留下	HSK4	liú xià	to leave behind; to stay behind
流行	HSK4	liú xíng	(of a contagious disease etc) to spread; to propagate; (of a style of clothing, song etc) popular; fashionable
理想	HSK4	lǐ xiǎng	an ideal; a dream
例子	HSK4	lì zi	case; (for) instance
乱	HSK4	luàn	in confusion or disorder; in a confused state of mind
旅馆	HSK4	lǚ guǎn	hotel; CL:家[jia1]
路过	HSK4	lù guò	to pass by or through
旅客	HSK4	lǚ kè	traveler; tourist
落	HSK4	luò	to fall or drop; (of the sun) to set
律师	HSK4	lǜ shī	lawyer
旅行	HSK4	lǚ xíng	to travel; journey; trip
麻烦	HSK4	má fan	trouble; inconvenience; inconvenient; troublesome; annoying
满	HSK4	mǎn	to fill; full
馒头	HSK4	mán tou	steamed bun
毛巾	HSK4	máo jīn	towel; CL:條|条[tiao2]
毛衣	HSK4	máo yī	(wool) sweater; CL:件[jian4]
帽子	HSK4	mào zi	hat; cap
美	HSK4	měi	beautiful; very satisfactory; good
美好	HSK4	měi hǎo	beautiful; fine
美景	HSK4	měi jǐng	beautiful scenery
美丽	HSK4	měi lì	beautiful
美食	HSK4	měi shí	culinary delicacy; fine food
梦	HSK4	mèng	dream (CL:場|场[chang2]); (bound form) to dream
梦想	HSK4	mèng xiǎng	(fig.) to dream of; dream
面对	HSK4	miàn duì	to face; to confront
免费	HSK4	miǎn fèi	free (of charge)
面试	HSK4	miàn shì	to be interviewed (as a candidate); interview
秒	HSK4	miǎo	second (unit of time); arc second (angular measurement unit)
密码	HSK4	mì mǎ	cipher; secret code; password; PIN
民族	HSK4	mín zú	nationality; ethnic group
末	HSK4	mò	tip; end
目标	HSK4	mù biāo	target; goal
目的	HSK4	mù dì	purpose; aim; goal; target; objective
目的地	HSK4	mù dì dì	destination (location)
母女	HSK4	mǔ nǚ	mother and daughter; mother-daughter
目前	HSK4	mù qián	at the present time; currently
母亲	HSK4	mǔ qīn	mother
母子	HSK4	mǔ zǐ	mother and child; parent and subsidiary (companies)
耐心	HSK4	nài xīn	to be patient; patience
南部	HSK4	nán bù	southern part
难道	HSK4	nán dào	don't tell me ...; could it be that...?
男士	HSK4	nán shì	man; gentleman
难受	HSK4	nán shòu	to feel unwell; to suffer pain
难忘	HSK4	nán wàng	unforgettable
男性	HSK4	nán xìng	the male sex; a male
内	HSK4	nèi	inside; inner
内容	HSK4	nèi róng	content; substance; details; CL:項|项[xiang4]
内心	HSK4	nèi xīn	heart; innermost being; (math.) incenter
能否	HSK4	néng fǒu	whether or not; can it or can't it
能够	HSK4	néng gòu	to be capable of; to be able to
能力	HSK4	néng lì	capability; ability
嗯	HSK4	èn	(nonverbal grunt as interjection); OK, yeah
年底	HSK4	nián dǐ	the end of the year; year-end
年龄	HSK4	nián líng	(a person's) age; CL:把[ba3],個|个[ge4]
弄	HSK4	nòng	to do; to manage
农村	HSK4	nóng cūn	rural area; village
暖和	HSK4	nuǎn huo	warm; nice and warm
女性	HSK4	nǚ xìng	woman; the female sex
偶尔	HSK4	ǒu ěr	occasionally; once in a while
排	HSK4	pái	to arrange in order; to line up; to exclude; to eliminate; to repel; to expel; to discharge
牌	HSK4	pái	signboard; plaque; plate; tablet (CL:塊|块[kuai4]); brand; trademark
拍	HSK4	pāi	to pat; to clap
排队	HSK4	pái duì	to line up
排球	HSK4	pái qiú	volleyball; CL:個|个[ge4]
牌子	HSK4	pái zi	sign; trademark
判断	HSK4	pàn duàn	to judge; to determine; judgment
陪	HSK4	péi	to accompany; to keep sb company
片	HSK4	piàn	thin piece; flake
篇	HSK4	piān	sheet; piece of writing
皮肤	HSK4	pí fū	skin; CL:層|层[ceng2],塊|块[kuai4]
平常	HSK4	píng cháng	ordinary; common
乒乓球	HSK4	pīng pāng qiú	table tennis; ping-pong
批评	HSK4	pī píng	to criticize; criticism; CL:次[ci4],番[fan1]
脾气	HSK4	pí qi	character; temperament; disposition; bad temper
皮鞋	HSK4	pí xié	leather shoes
破	HSK4	pò	broken; damaged
普遍	HSK4	pǔ biàn	universal; general
葡萄	HSK4	pú tao	grape
葡萄酒	HSK4	pú tao jiǔ	(grape) wine
普通	HSK4	pǔ tōng	common; ordinary
普通话	HSK4	pǔ tōng huà	Putonghua; standard Mandarin
气	HSK4	qì	gas; air; smell
期	HSK4	qī	a period of time; phase
前方	HSK4	qián fāng	ahead; the front
强	HSK4	qiáng	strong; powerful
前后	HSK4	qián hòu	around; from beginning to end
千克	HSK4	qiān kè	kilogram
千万	HSK4	qiān wàn	ten million; countless
签证	HSK4	qiān zhèng	visa; to issue a visa
桥	HSK4	qiáo	bridge; CL:座[zuo4]
巧	HSK4	qiǎo	opportunely; coincidentally
敲	HSK4	qiāo	to hit; to strike
巧克力	HSK4	qiǎo kè lì	(loanword) chocolate; CL:塊|块[kuai4]
其次	HSK4	qí cì	next; secondly
起到	HSK4	qǐ dào	(in an expression of the form 起到[qi3 dao4] + … + 作用[zuo4 yong4]) to have (a (motivating etc) effect); to pl...
气候	HSK4	qì hòu	(meteorology) climate; (fig.) climate; prevailing conditions (in human affairs)
期末	HSK4	qī mò	the end of a term or semester (in school)
琴	HSK4	qín	guqin 古琴[gu3 qin2] (a type of zither); musical instrument in general
轻	HSK4	qīng	light; easy
情况	HSK4	qíng kuàng	circumstances; state of affairs; situation; CL:種|种[zhong3]
青年	HSK4	qīng nián	youth; youthful years
轻松	HSK4	qīng sōng	light; gentle
庆祝	HSK4	qìng zhù	to celebrate
亲戚	HSK4	qīn qi	a relative (i.e. family relation); CL:門|门[men2],個|个[ge4],位[wei4]
汽水	HSK4	qì shuǐ	soda pop; carbonated soft drink
球队	HSK4	qiú duì	sports team (basketball, soccer, football etc)
球迷	HSK4	qiú mí	fan (ball sports); CL:個|个[ge4]
气温	HSK4	qì wēn	air temperature
其中	HSK4	qí zhōng	among; in
期中	HSK4	qī zhōng	interim; midterm
取	HSK4	qǔ	to take; to get
区	HSK4	qū	area; region
全	HSK4	quán	all; whole
全部	HSK4	quán bù	whole; all
全都	HSK4	quán dōu	all; without exception
全球	HSK4	quán qiú	the whole world; worldwide; global
全身	HSK4	quán shēn	the whole body; (typography) em
区别	HSK4	qū bié	difference; to distinguish
取得	HSK4	qǔ dé	to acquire; to get; to obtain
却	HSK4	què	but; yet
缺	HSK4	quē	deficiency; lack
缺点	HSK4	quē diǎn	weak point; fault
缺少	HSK4	quē shǎo	lack; shortage of
确实	HSK4	què shí	indeed; really
取消	HSK4	qǔ xiāo	to cancel; to call off; to revoke; to rescind
然而	HSK4	rán ér	however; but; yet
热闹	HSK4	rè nao	bustling with noise and excitement; lively
仍	HSK4	réng	still; yet; to remain
扔	HSK4	rēng	to throw; to throw away
仍然	HSK4	réng rán	still; as before; yet
任何	HSK4	rèn hé	any; whatever; whichever
人生	HSK4	rén shēng	life (one's time on earth)
人数	HSK4	rén shù	number of people
任务	HSK4	rèn wu	mission; assignment; task; duty; role; CL:項|项[xiang4]
人员	HSK4	rén yuán	staff; crew
日常	HSK4	rì cháng	day-to-day; daily; everyday
日记	HSK4	rì jì	diary; CL:則|则[ze2],本[ben3],篇[pian1]
日期	HSK4	rì qī	date
日子	HSK4	rì zi	day; a (calendar) date
入	HSK4	rù	to enter; to go into; to join; to become a member of
入口	HSK4	rù kǒu	entrance; to import
入学	HSK4	rù xué	to enter a school or college; to go to school for the first time as a child
入住	HSK4	rù zhù	to check in (at a hotel etc); to move into (a house)
散步	HSK4	sàn bù	to take a walk; to go for a walk
扫码	HSK4	sǎo mǎ	to scan a QR code or barcode
森林	HSK4	sēn lín	forest; CL:片[pian4]
商量	HSK4	shāng liang	to consult; to talk over
上门	HSK4	shàng mén	to drop in; to visit
商品	HSK4	shāng pǐn	commodity; goods; merchandise; CL:件[jian4]
伤心	HSK4	shāng xīn	to grieve; to be broken-hearted
稍	HSK4	shāo	somewhat; a little
少见	HSK4	shǎo jiàn	rare; seldom seen; (formal) it's a rare pleasure to see you
少量	HSK4	shǎo liàng	a smidgen; a little bit
少年	HSK4	shào nián	early youth; youngster
少数	HSK4	shǎo shù	small number; few
稍微	HSK4	shāo wēi	a little bit
社会	HSK4	shè huì	society
身	HSK4	shēn	body; life
深	HSK4	shēn	old variant of 深[shen1]
身份证	HSK4	shēn fèn zhèng	identity card; ID
剩	HSK4	shèng	to remain; to be left
省	HSK4	shěng	to save; to economize; to be frugal; to omit; to delete; to leave out
生	HSK4	shēng	to grow; to give birth; to produce; to be born; to arise; to occur
生	HSK4	shēng	to grow; to give birth; to produce; to be born; to arise; to occur
生命	HSK4	shēng mìng	life (as the characteristic of living beings); living being; creature (CL:條|条[tiao2])
生意	HSK4	shēng yì	life force; vitality
申请	HSK4	shēn qǐng	to apply for sth; application form (CL:份[fen4])
甚至	HSK4	shèn zhì	even; so much so that
摄氏度	HSK4	Shè shì dù	°C (degrees Celsius)
使	HSK4	shǐ	to make; to cause
失败	HSK4	shī bài	to be defeated; to lose
市场	HSK4	shì chǎng	marketplace; market; bazaar; (economics) market
十分	HSK4	shí fēn	very; completely
是否	HSK4	shì fǒu	whether (or not); if
师傅	HSK4	shī fu	master; qualified worker
使馆	HSK4	shǐ guǎn	consulate; diplomatic mission
适合	HSK4	shì hé	to fit; to suit
实际	HSK4	shí jì	reality; practice
世纪	HSK4	shì jì	century
时间表	HSK4	shí jiān biǎo	schedule; timetable
实际上	HSK4	shí jì shàng	in fact; in reality
食品	HSK4	shí pǐn	foodstuff; food; provisions
视频	HSK4	shì pín	video
市区	HSK4	shì qū	urban district; downtown
失去	HSK4	shī qù	to lose
师生	HSK4	shī shēng	teachers and students
食堂	HSK4	shí táng	dining hall; cafeteria; CL:個|个[ge4],間|间[jian1]
试题	HSK4	shì tí	exam question; test topic
失望	HSK4	shī wàng	disappointed; to lose hope
食物	HSK4	shí wù	food
适应	HSK4	shì yìng	to adapt; to fit
使用	HSK4	shǐ yòng	to use; to employ
实在	HSK4	shí zài	really; actually
十字路口	HSK4	shí zì lù kǒu	crossroads; intersection
首	HSK4	shǒu	head; chief
受不了	HSK4	shòu bù liǎo	unbearable; unable to endure
首都	HSK4	shǒu dū	capital (city); CL:個|个[ge4]
收费	HSK4	shōu fèi	to charge a fee
售票员	HSK4	shòu piào yuán	ticket seller
收入	HSK4	shōu rù	to take in; income
受伤	HSK4	shòu shāng	to sustain injuries; wounded (in an accident etc)
收拾	HSK4	shōu shi	to put in order; to tidy up
收听	HSK4	shōu tīng	to listen to (a radio broadcast)
首先	HSK4	shǒu xiān	first of all; in the first place
数	HSK4	shǔ	to count; to count as; to regard as
输	HSK4	shū	to lose; to be beaten; (bound form) to transport
熟	HSK4	shú	ripe; mature; thoroughly cooked; done
帅	HSK4	shuài	(bound form) commander-in-chief; (bound form) to lead; to command
暑假	HSK4	shǔ jià	summer vacation; CL:個|个[ge4]
数量	HSK4	shù liàng	amount; quantity; quantitative
树林	HSK4	shù lín	woods; grove
顺便	HSK4	shùn biàn	conveniently; in passing
顺利	HSK4	shùn lì	smoothly; without a hitch
顺序	HSK4	shùn xù	sequence; order
说法	HSK4	shuō fa	way of speaking; wording
说明	HSK4	shuō míng	to explain; to illustrate
说明书	HSK4	shuō míng shū	(technical) manual; (book of) directions
硕士	HSK4	shuò shì	master's degree; person who has a master's degree
熟悉	HSK4	shú xī	to be familiar with; to know well
数字	HSK4	shù zì	numeral; digit
死	HSK4	sǐ	to die; impassable
算	HSK4	suàn	to calculate; to figure out; to include; to count in
酸	HSK4	suān	sour; tart
酸奶	HSK4	suān nǎi	yogurt
速度	HSK4	sù dù	speed; rate; velocity; (music) tempo
随便	HSK4	suí biàn	as one wishes; as one pleases
随着	HSK4	suí zhe	along with; in the wake of
塑料	HSK4	sù liào	plastic; plastics (general term for synthetic polymer materials)
孙女	HSK4	sūn nǚ	son's daughter; granddaughter
孙子	HSK4	sūn zi	grandson; son's son
所有	HSK4	suǒ yǒu	all; to have; to possess; to own
台	HSK4	tái	platform; stage
抬	HSK4	tái	to lift; to raise
态度	HSK4	tài du	manner; bearing
