word	level	pinyin	gloss
老师	HSK1	lǎo shī	teacher; CL:個|个[ge4],位[wei4]
了	HSK1	liǎo	to finish; (used with 得[de2] or 不[bu4] after a verb to express (im)possibility, as in 忘不了[wang4 bu5 liao3]...
冷	HSK1	Lěng	surname Leng
里	HSK1	lǐ	lining; interior
两	HSK1	liǎng	two; both
零	HSK1	líng	zero; nought
六	HSK1	liù	six; 6
吗	HSK1	má	(coll.) what?
卖	HSK1	mài	to sell; to betray
买	HSK1	mǎi	to buy; to purchase
妈妈	HSK1	mā ma	mama; mommy
忙	HSK1	máng	busy; hurriedly
猫	HSK1	māo	cat (CL:隻|只[zhi1]); (dialect) to hide oneself
没关系	HSK1	méi guān xi	it doesn't matter
妹妹	HSK1	mèi mei	younger sister; young woman
没事	HSK1	méi shì	it's not important; it's nothing
没（有）	HSK1	méi （ yǒu ）	
们	HSK1	men	plural marker for pronouns, and nouns referring to individuals
面包	HSK1	miàn bāo	bread; CL:片[pian4],塊|块[kuai4]
面条儿	HSK1	miàn tiáo r	erhua variant of 麵條|面条[mian4 tiao2]
米饭	HSK1	mǐ fàn	(cooked) rice
明年	HSK1	míng nián	next year
明天	HSK1	míng tiān	tomorrow
名字	HSK1	míng zi	name (of a person or thing); CL:個|个[ge4]
那	HSK1	nuó	(archaic) many; beautiful
哪	HSK1	nǎ	how; which
那边	HSK1	nà bian	over there; yonder
那个	HSK1	nà ge	that one; that thing
哪个	HSK1	nǎ ge	which; who
那里	HSK1	nà li	there; that place
哪里	HSK1	nǎ lǐ	where?; somewhere
男	HSK1	nán	(bound form) male; baron, the lowest of the five ranks of nobility 五等爵位[wu3 deng3 jue2 wei4]
男朋友	HSK1	nán péng you	boyfriend
那儿	HSK1	nà r	there
哪儿	HSK1	nǎ r	where?; wherever; anywhere; somewhere
那些	HSK1	nà xiē	those
哪些	HSK1	nǎ xiē	which ones?; who?
呢	HSK1	ne	(sentence-final particle) used in questions to link back to prior discourse or context ("what about...?", "...
能	HSK1	néng	can; to be able to
你	HSK1	nǐ	you (informal, as opposed to courteous 您[nin2])
你好	HSK1	nǐ hǎo	hello; hi
年	HSK1	nián	grain; harvest (old)
你们	HSK1	nǐ men	you (plural)
您	HSK1	nín	you (courteous, as opposed to informal 你[ni3])
牛奶	HSK1	niú nǎi	cow's milk; CL:瓶[ping2],杯[bei1]
女	HSK1	nǚ	female; woman
女儿	HSK1	nǚ ér	daughter
女朋友	HSK1	nǚ péng you	girlfriend
女士	HSK1	nǚ shì	lady; madam
朋友	HSK1	péng you	friend; CL:個|个[ge4],位[wei4]
便宜	HSK1	pián yi	cheap; inexpensive; a petty advantage
漂亮	HSK1	piào liang	pretty; beautiful
苹果	HSK1	píng guǒ	apple; CL:個|个[ge4],顆|颗[ke1]
七	HSK1	qī	seven; 7
前	HSK1	qián	front; forward
钱	HSK1	qián	coin; money
千	HSK1	qiān	thousand
起床	HSK1	qǐ chuáng	to get out of bed; to get up
请	HSK1	qǐng	to ask; to invite
请问	HSK1	qǐng wèn	Excuse me, may I ask...?
去	HSK1	qù	to go; to go to (a place)
去年	HSK1	qù nián	last year
热	HSK1	rè	to warm up; to heat up
人	HSK1	rén	person; people; CL:個|个[ge4],位[wei4],名[ming2]
认识	HSK1	rèn shi	to know; to recognize
日	HSK1	rì	(bound form) sun; day
三	HSK1	sān	three; 3
上	HSK1	shàng	(bound form) up; upper; above; previous; first (of multiple parts)
上班	HSK1	shàng bān	to go to work; to be on duty
商店	HSK1	shāng diàn	store; shop; CL:家[jia1]
上课	HSK1	shàng kè	to go to class; to attend class
上午	HSK1	shàng wǔ	morning
上学	HSK1	shàng xué	to go to school; to attend school
少	HSK1	shǎo	few; less
谁	HSK1	shéi	who; also pr. [shui2]
生病	HSK1	shēng bìng	to fall ill
什么	HSK1	shén me	what?; something; anything
十	HSK1	shí	ten; 10
事	HSK1	shì	matter; thing
是	HSK1	shì	to be (followed by substantives only); correct; right; true
时候	HSK1	shí hou	time; length of time
时间	HSK1	shí jiān	(concept of) time; (duration of) time
手机	HSK1	shǒu jī	cell phone; mobile phone; CL:部[bu4],臺|台[tai2]
书	HSK1	shū	book; letter
书店	HSK1	shū diàn	bookstore; CL:家[jia1]
睡	HSK1	shuì	to sleep; to lie down
水	HSK1	shuǐ	water; (after a name) ... River
水果	HSK1	shuǐ guǒ	fruit; CL:個|个[ge4]
睡觉	HSK1	shuì jiào	to go to bed; to sleep
说	HSK1	shuō	to speak; to talk; to say; to explain; to comment
说话	HSK1	shuō huà	to speak; to say
四	HSK1	sì	four; 4
岁	HSK1	suì	classifier for years (of age); year
他	HSK1	tā	(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another...
它	HSK1	tā	it
她	HSK1	tā	she
太	HSK1	tài	highest; greatest
他们	HSK1	tā men	they; them
它们	HSK1	tā men	they; them
她们	HSK1	tā men	they; them (females)
天	HSK1	tiān	day; sky
天气	HSK1	tiān qì	weather
听	HSK1	tīng	to listen to; to hear; to heed; to obey
听见	HSK1	tīng jiàn	to hear
同学	HSK1	tóng xué	to study at the same school; fellow student
外	HSK1	wài	outside; in addition
外边	HSK1	wài bian	outside; outer surface
玩	HSK1	wán	to play; to have fun
晚	HSK1	wǎn	evening; night
晚饭	HSK1	wǎn fàn	evening meal; dinner
晚上	HSK1	wǎn shang	evening; night
喂	HSK1	wèi	hey; to feed (an animal, baby, invalid etc)
问	HSK1	wèn	to ask; to inquire
问题	HSK1	wèn tí	question; problem
我	HSK1	wǒ	I; me; my
我们	HSK1	wǒ men	we; us; ourselves; our
五	HSK1	wǔ	five; 5
午饭	HSK1	wǔ fàn	lunch; CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]
下	HSK1	xià	down; downwards
下雨	HSK1	xià yǔ	to rain
下班	HSK1	xià bān	to finish work; to get off work; next service (train, bus etc)
下课	HSK1	xià kè	to finish class; to get out of class
想	HSK1	xiǎng	to think (about); to think of; to devise
先生	HSK1	xiān sheng	teacher; gentleman; sir; mister (Mr.)
现在	HSK1	xiàn zài	now; at present; currently
小	HSK1	xiǎo	small; tiny
小朋友	HSK1	xiǎo péng yǒu	child; kid (used to refer to a child, or by an adult to address a child, or, in Taiwan, to refer to sb's ow...
小时	HSK1	xiǎo shí	hour; CL:個|个[ge4]
小学	HSK1	xiǎo xué	elementary school; primary school
小学生	HSK1	xiǎo xué shēng	primary school student; schoolchild
下午	HSK1	xià wǔ	afternoon; CL:個|个[ge4]
写	HSK1	xiě	to write
些	HSK1	xiē	classifier indicating a small amount or small number greater than 1: some, a few, several
谢谢	HSK1	xiè xie	to thank; thanks
喜欢	HSK1	xǐ huan	to like; to be fond of
新	HSK1	Xīn	abbr. for Xinjiang 新疆[Xin1 jiang1]; abbr. for Singapore 新加坡[Xin1 jia1 po1]
星期	HSK1	xīng qī	week; CL:個|个[ge4]
星期日	HSK1	Xīng qī rì	Sunday
星期天	HSK1	Xīng qī tiān	Sunday
休息	HSK1	xiū xi	rest; to rest
学	HSK1	xué	to learn; to study
雪	HSK1	xuě	snow; CL:場|场[chang2]
学生	HSK1	xué sheng	student; schoolchild
学习	HSK1	xué xí	to learn; to study
学校	HSK1	xué xiào	school; CL:所[suo3]
要	HSK1	yào	to want; to need; to ask for; will; shall; about to
也	HSK1	yě	also; too; as well; (not ...) either; (used after a verbal or nominal expression X to indicate that X is an...
一	HSK1	yī	one; single
一半	HSK1	yī bàn	half
